L3 愛玉的變身術,推論整合,為什麼洗愛玉時不能沾到「油」？,因為油會讓愛玉吃起來非常油膩,因為油脂會破壞果膠的凝結作用,因為油會讓愛玉的顏色變成黑色,因為油會導致洗愛玉的人手受傷,B,科學實驗的變因控制。
L3 愛玉的變身術,事實提取,愛玉凍最常見的食用方式是搭配什麼？,麻辣火鍋的湯底一起熬煮,糖水、檸檬汁與冰塊一起食用,放在烤箱中烤到表面金黃焦脆,夾在漢堡肉中間增加層次口感,B,生活經驗連結。
L3 愛玉的變身術,應用評論,小華洗愛玉失敗了，他應該檢查哪項變因？,水質是否太純或容器是否有油垢,當天的氣溫是否超過了三十度,洗愛玉時是否穿了紅色的衣服,愛玉子的包裝顏色是否漂亮,A,故障排除與科學思考。
L3 愛玉的變身術,事實提取,愛玉的生長環境通常是在哪裡？,深海中的珊瑚礁岩石縫隙裡,高海拔山區的大樹樹幹上面,乾旱且完全沒有水的沙漠中央,百貨公司頂樓的人造溫室裡,B,生態知識。
L4 楊修猜字,事實提取,當曹操在門上寫一個「活」字時，楊修的解釋是？,代表這扇門做得非常有活力,代表嫌這扇門的寬度太過寬闊,代表要在門後養一隻活的小雞,代表這扇門需要漆上活潑色彩,B,「門」中有「活」即為「闊」。
L4 楊修猜字,理解推論,楊修之所以能猜中曹操的心思，是因為他？,具備敏銳的文字分析力與觀察力,偷偷在曹操的身邊安裝了竊聽器,每天都花很多時間在練習算命法,曹操事先已經偷偷告訴他答案了,A,強調機智與邏輯。
L4 楊修猜字,推論整合,這則故事展現了中國文字具備哪種特色？,文字的讀音比字型還要重要許多,字體結構中隱藏著豐富的拆解趣味,文字的筆畫越多代表意義越重大,文字在古代只能用來記錄天氣變化,B,漢字拆解的妙趣。
L4 楊修猜字,事實提取,曹操聽完楊修拆解「闊」字的解釋後，反應是？,雖然心中佩服但也有被看穿的忌憚,當場大哭並覺得楊修在羞辱自己,立刻宣布從此以後不再寫任何字,覺得楊修非常愚蠢並將他趕出門,A,人物心理與情節發展。
L4 楊修猜字,理解推論,「一合酥」的故事中，楊修將「合」字拆為什麼？,代表一人一口酥餅,代表今天合該吃酥,代表盒子裡面有酥,代表合力製作酥餅,A,文字拆解與情節記憶。
L4 楊修猜字,推論整合,楊修這類人物在文學中通常代表什麼形象？,擁有絕對武力且能征善戰的將軍,聰明過人但有時顯得鋒芒太露的智者,沈默寡言且完全不參與政治的隱士,專門在街頭表演雜技與魔術的藝人,B,人物形象定位。
L4 楊修猜字,事實提取,故事背景發生在中國歷史上的哪一個時期？,三國時期,清朝末年,現代社會,唐朝盛世,A,歷史背景核對。
L4 楊修猜字,推論整合,為什麼曹操不直接說門太寬，而是寫一個「活」字？,因為曹操當時喉嚨受傷無法說話,想透過文字遊戲測驗部屬的智慧,因為他忘記「寬」這個字怎麼寫,他想練習書法技巧給楊修看,B,動機推論。
L4 楊修猜字,應用評論,如果你是楊修，面對權威者的暗示，最保險的做法是？,大聲向所有人炫耀自己看穿了長官,看穿不說穿，適度展現機智且留餘地,直接告訴長官他寫的字非常難看,假裝自己完全看不懂並轉頭離開,B,情商與溝通智慧延伸。
L4 楊修猜字,事實提取,「猜字」這種行為在古代文化中常被稱為？,文字謎語或燈謎,現代電子遊戲,體育競賽活動,農業耕種技術,A,文化常識。
課次,認知層次,題目內容,選項A,選項B,選項C,選項D,正確答案,命題解析
L5 唱反調,事實提取,本課提到的「唱反調」在科學討論中通常代表什麼？,對他人意見展現不禮貌的嘲笑,提出不同觀點以激發更多思考,無條件服從多數人的決定結果,為了讓氣氛變得尷尬而故意說話,B,測驗對抽象詞彙在特定語境下的事實認知。
L5 唱反調,理解推論,為什麼作者認為當大家都做同樣選擇時「需要警覺」？,因為這樣會讓自己顯得不夠合群,因為盲目從眾可能忽略更好的選擇,因為多數人的決定通常一定是錯誤的,因為這樣會導致社會秩序發生混亂,B,測驗對「不盲從」核心價值的理解。
L5 唱反調,推論整合,文中提到「不同的聲音」對於解決問題有什麼幫助？,能讓討論的時間縮短並快速結束,提供多元視角以檢視方案的缺點,證明自己的智慧高於其他所有人,讓每個人都覺得自己是不受歡迎的,B,理解批判性思考的功能。
L5 唱反調,應用評論,若小明在班會中提出與大家不同的建議，這體現了？,他是一個非常愛表現且愛吵架的人,他具備獨立思考並勇於表達的精神,他想利用不同的意見來換取好處,他完全不尊重班長與老師的決定,B,價值觀在校園情境的延伸。
L5 唱反調,事實提取,課文中提到「真理越辯越明」，這句話的意思是？,大聲說話的人通常就代表著真理,透過多方討論能讓事情真相更清楚,只要贏得辯論就能獲得最終的獎金,爭論的時間越長代表雙方越有智慧,B,經典格言的事實理解。
L5 唱反調,理解推論,作者認為「唱反調」不應包含下列哪一種行為？,基於邏輯與事實提出的理性質疑,單純為了反對而反對的負面情緒,對既有規則提出的各種創新建議,尋找解決方案中可能存在的風險點,B,區分建設性與破壞性行為。
L5 唱反調,推論整合,「換個角度看世界」在文中主要是在鼓勵我們？,每天都要更換不同顏色衣服來穿,練習突破慣性思考以發現新可能,隨意更換住家地點以體驗不同生活,觀察別人在背後對自己所有的評價,B,推論寫作意圖。
L5 唱反調,事實提取,關於本課對「唱反調」的定義，下列敘述何者正確？,它是一種具備建設性的反向思考,它專指在唱歌時故意唱錯音階,它是一種導致團隊瓦解的不良行為,它只能運用在非常專業的科學研究,A,定義核對。
L5 唱反調,推論整合,文中舉例說明「反向思考」的作用，主要是想證明？,科學家通常都是非常孤僻的一群人,突破常規往往是進步的重要關鍵點,多數人的意見永遠都不具備參考性,在社會中生存必須隱藏自己的想法,B,論點支撐推論。
L5 唱反調,應用評論,這課想要傳達給三下學生的重要溝通智慧是？,在任何場合都要保持絕對的沈默,學習尊重異見並進行深度的思辨,遇到意見不同時應立刻大聲爭辯,隨時準備好最華麗的詞彙來反駁,B,主旨內化應用。
L6 一飛衝天,事實提取,人類觀察哪一種自然生物後，產生了飛行的夢想？,在大海中快速游動的各種魚類,在天空中展翅高飛的自由鳥類,在森林中攀爬樹木的靈活猴子,在草地上跳躍前進的敏捷袋鼠,B,仿生學與夢想起源。
L6 一飛衝天,理解推論,早期飛行夢想之所以難以實現，主要原因在於？,人類當時並不想離開堅實的地面,科技水平與材料科學尚未發展成熟,當時的人們覺得天空是非常恐怖的,政府嚴格禁止任何形式的飛行實驗,B,困難背景理解。
L6 一飛衝天,事實提取,萊特兄弟在實驗過程中，展現了什麼樣的精神？,失敗後立刻尋找其他簡單的工作,不斷測試、修正並堅持到底的韌性,只利用金錢請別人代為完成所有實驗,認為只要靠著運氣就能成功飛上天,B,人物特質。
L6 一飛衝天,推論整合,「一飛衝天」在文中除了指火箭升空，還象徵？,人類體力極限在各類運動的突破,夢想實踐時那種突破束縛的生命力,所有學生在考試成績上的快速進步,森林中的大樹在雨後快速生長的樣子,B,象徵意義推論。
L6 一飛衝天,事實提取,文中提到現代火箭是利用什麼力量離開地球？,巨大的噴射反作用力推動前進,像大風箏一樣利用風力緩慢上升,利用吸鐵吸引月球表面的強大磁力,由地面數萬人同時拉動粗壯的繩子,A,科學事實。
L6 一飛衝天,理解推論,為什麼科學家需要進行無數次的「地面測試」？,為了增加科學研究的總體經費支出,確保升空過程的安全性與精確程度,想讓更多參觀民眾看到實驗的過程,因為他們害怕真正進入外太空環境,B,過程邏輯。
L6 一飛衝天,推論整合,關於「太空探索」的描述，下列何者符合課文意旨？,這是一件浪費資源且毫無意義的事,這是人類展現智慧與勇氣的壯舉,只要有豐富想像力不需實驗就能成功,這只是為了滿足少數人的虛榮心而已,B,價值判斷。
L6 一飛衝天,事實提取,課文中提到的「倒數計時」帶給讀者什麼樣的感受？,覺得等待的時間太長而感到不耐煩,展現即將突破未知的緊張與期待感,感到非常睏倦並想立刻關掉電視機,覺得這是一個完全沒有必要的流程,B,摹寫與氛圍感。
L6 一飛衝天,應用評論,若小明想當科學家，他最該從本課學習哪種態度？,只在乎最終成果不願意面對失敗,在困難中保持好奇並勇於實驗研究,認為只要聰明就不需要動手做實驗,凡事都依賴父母幫忙解決所有難題,B,特質轉化。
L6 一飛衝天,理解推論,為什麼文中說「天空不再是限制」？,因為人類現在可以隨意在雲朵上走路,因為科技讓我們能自由探索更遠空間,因為現在天空中已經沒有任何的鳥類,因為大氣層現在已經完全消失不見了,B,隱喻理解。
L7 井仔腳鹽田,事實提取,井仔腳鹽田的特色是使用什麼材料鋪在田底？,整塊完整的巨大的透明玻璃板,破碎的瓦片拼貼而成的「瓦盤」,厚重的黑色柏油來吸收太陽熱氣,由國外進口的昂貴白色大理石磚,B,地景特徵事實。
L7 井仔腳鹽田,理解推論,鹽田呈現「一格一格」的樣貌，其主要功能是？,為了讓遊客在鹽田內玩大型格子遊戲,方便鹽工管理不同階段的海水蒸發,防止海邊的沙蟹隨意進入鹽田內部,純粹是為了建築美觀而設計的裝飾,B,功能性邏輯。
L7 井仔腳鹽田,推論整合,為什麼井仔腳鹽田被稱為「地景美學」？,因為那裡種植了非常多鮮豔的花朵,因為夕陽與鹽堆構成了獨特美景,因為當地政府在鹽田旁建造了美術館,因為鹽工們每天都會在鹽田內跳舞,B,美學觀點推論。
L7 井仔腳鹽田,事實提取,在曬鹽的過程中，「滷水」指的是什麼？,加入大量香料後煮出來的鹹味湯汁,濃度極高且尚未結晶的神祕海水,鹽工們工作時補充體力的運動飲料,用來清洗鹽田地板的強力化學藥劑,B,專業術語理解。
L7 井仔腳鹽田,理解推論,鹽工們在烈日下辛勤工作的「收穫」不包括？,雪白且晶瑩剔透的純淨鹽粒結晶,傳承自祖先那份勤勞與智慧的感動,獲得能在海水中長期游泳的超能力,讓讀者體會到盤中之鹽的來之不易,C,邏輯排除。
L7 井仔腳鹽田,推論整合,瓦盤鹽田之所以能曬出更乾淨的鹽，是因為？,瓦片能有效隔絕下層泥土的雜質,瓦片能散發出淡雅且特殊的香味,瓦片能自動過濾掉海水中所有細菌,瓦片會吸收雨水並自動轉化成鹽分,A,技術原理。
L7 井仔腳鹽田,事實提取,課文中提到的曬鹽流程，最依賴哪種自然現象？,強烈的降雨,充足的陽光,寒冷的冬風,夜晚的月光,B,自然條件。
L7 井仔腳鹽田,推論整合,「小鹽山」在文中帶給讀者什麼樣的視覺聯想？,像是一堆堆被廢棄在海邊的垃圾,像是一座座倒映在水中的白色金字塔,像是一群正在海邊戲水的小白象,像是一條條橫跨在鹽田上的彩虹橋,B,摹寫聯想。
L7 井仔腳鹽田,應用評論,來到井仔腳觀光時，我們最適合採取的行為是？,在鹽堆中奔跑嬉戲並將鹽撒向空中,靜靜欣賞自然景觀並尊重傳統產業,隨意將手中的垃圾丟入鹽田的水中,大聲批評曬鹽這項工作已經太過落後,B,觀光教育實踐。
L7 井仔腳鹽田,理解推論,這課想要透過鹽田美景，引導我們學習什麼？,學習如何在海邊開餐廳賺遊客的錢,學習對土地的熱愛與生活美學觀察,學習如何製作威力強大的炸藥原料,學習如何在沙漠中尋找乾淨的飲水,B,主旨延伸。
L8 和魚一起游泳,事實提取,作者去浮潛的地點最可能具備什麼樣的特徵？,充滿厚實冰層且寒冷的極地海洋,清澈見底且擁有繽紛珊瑚礁的海域,水質污濁且充滿垃圾的城市排水溝,水流湍急且危險的深山瀑布底端,B,環境特徵。
L8 和魚一起游泳,理解推論,在海中「和魚一起游泳」時，作者為什麼感到驚奇？,因為魚竟然會開口向他介紹海底風景,因為他發現海洋世界充滿色彩與生命,因為他發現海水的味道竟然是甜的,因為他能在海中呼吸不需要任何裝備,B,體驗感受理解。
L8 和魚一起游泳,推論整合,文中描述「熱帶魚」的顏色，主要想展現什麼？,海洋生物正在進行危險的偽裝競賽,大自然那份多樣且燦爛的生命色彩,這些魚是因為生病才變成奇怪顏色,魚群是為了逃避獵人才塗上彩繪的,B,美感與生命力。
L8 和魚一起游泳,事實提取,浮潛時作者為什麼要戴「潛水鏡」？,為了防止陽光太過刺眼而曬傷眼睛,為了在水中能看清美麗的海洋景觀,為了讓自己看起來像是一名專業船長,為了測試眼睛在深海壓力下的極限,B,功能認知。
L8 和魚一起游泳,理解推論,作者提到「海是大地的母親」，這句話的意思是？,海洋負責提供人類所有的電力來源,海洋孕育了無數生命且具備包容力,海洋是由大地之神親手挖掘出來的,海洋的水位高低是由人類來決定的,B,隱喻理解。
L8 和魚一起游泳,推論整合,這課最想建立讀者對海洋的哪種情感？,恐懼海洋的力量並從此遠離海邊,親近自然、尊重生命與保育意識,認為海洋只是一個取之不盡的資源,覺得海洋生態與人類生活完全無關,B,情感教育。
L8 和魚一起游泳,事實提取,文中提到的海底生物除了魚類，還可能有？,在天空中飛翔的老鷹,生長在海底的五彩珊瑚,在樹林間跳躍的松鼠,在草地上奔跑的小兔,B,生態常識核對。
L8 和魚一起游泳,推論整合,「寂靜的海底」在文中帶給作者什麼樣的心境？,覺得非常孤單且想立刻回到岸上,能靜下心來細細觀察自然的奧妙,覺得沈默是一件非常恐怖的事情,因為聽不到聲音而感到非常不安,B,語境感受推論。
L8 和魚一起游泳,應用評論,當我們在海邊看到美麗的珊瑚礁時，應如何做？,將喜歡的珊瑚折斷帶回家放入魚缸,靜靜觀賞不碰觸也不破壞生態環境,在珊瑚礁上面刻下自己的名字留念,將隨身的麵包屑丟入海中餵食魚群,B,生態保育實踐。
L8 和魚一起游泳,事實提取,本課的寫作體裁主要是下列哪一種？,嚴謹的科學數據實驗報告,充滿感官摹寫的自然記敘文,專門介紹如何購買潛水衣的廣告,關於海鮮料理製作的食譜說明,B,體裁辨識。
課次,認知層次,題目內容,選項A,選項B,選項C,選項D,正確答案,命題解析
L9 三峽老街樂藍染,事實提取,藍染所使用的天然植物染料「大菁」是來自於哪裡？,某種深海魚類的鱗片萃取物,一種在山區常見的綠色植物,人工合成的化學色素染料粉末,從老街古建築中刮下的油漆粉,B,測驗對工藝材料的基礎認識。
L9 三峽老街樂藍染,理解推論,在藍染的「紮染」過程中，使用橡皮筋的主要目的是？,防止布料在水中因為重力而沈沒,透過綑綁留白來製造出獨特花紋,讓染料能更快速地進入布料內部,方便染完之後能掛在牆上當飾品,B,理解工藝原理中的遮擋與顯色。
L9 三峽老街樂藍染,推論整合,為什麼課文將藍染稱為一種「樂」趣？,因為染料的味道聞起來非常清香,因為能在手作中感受創造的驚喜,因為藍染作品可以換取高額獎金,因為這樣就不用在學校練習寫字,B,測驗對「樂」字在文化體驗中的含義。
L9 三峽老街樂藍染,事實提取,三峽老街的建築風格特色主要體現在哪裡？,整齊的現代化鋼筋玻璃帷幕大樓,古色古香的紅磚牆與優美的拱廊,完全由稻草與泥土搭建的簡易房屋,擁有許多色彩斑斕的歐式尖塔屋頂,B,測驗對三峽老街視覺景觀的描述。
L9 三峽老街樂藍染,理解推論,關於藍染工藝的現況，下列敘述何者正確？,因為太過麻煩已經完全消失在台灣,透過觀光體驗與教育獲得新的生命,現在只能在專業的化學實驗室製作,只有住在三峽的老年人才知道作法,B,測驗傳統工藝的轉型與傳承觀點。
L9 三峽老街樂藍染,推論整合,文中提到「布料在染桶裡變色」，這象徵了？,化學反應帶來的神奇視覺魔法感,布料因為浸泡太久而產生了損壞,作者在染色的過程中不小心出錯,大自然的力量正在破壞人類作品,A,測驗對過程描述的神奇感聯想。
L9 三峽老街樂藍染,應用評論,若小明想推廣藍染，他最該強調哪一個特點？,染出的顏色每一件都是獨一無二,這是一種比電腦印刷更快速的技術,這種染料可以當成顏料來畫水彩畫,藍染布料可以防止任何髒污的附著,A,特質轉化與應用判斷。
L9 三峽老街樂藍染,事實提取,「藍染」這項工藝在過去主要是用來做什麼？,用來製作防水效果最好的雨衣,用來將白色的布料染成實用的藍色,用來測試水源是否受到化學污染,用來繪製地圖並標示河流的位置,B,歷史功能認知。
L9 三峽老街樂藍染,理解推論,作者在三峽老街漫步的心情可以形容為？,對於古老事物感到非常厭煩與無趣,充滿對傳統文化的好奇與美感體會,覺得這裡的道路太過狹窄而不方便,只在乎這裡能買到哪些新奇的玩具,B,情感調性辨識。
L9 三峽老街樂藍染,推論整合,文中提到「染布像是在變魔術」，這是因為？,染料會隨著時間發出閃爍的光芒,布料從水中拿起後顏色會產生變化,染完之後布料會自動變成衣服形狀,染布時需要一邊念咒語才能成功,B,狀態轉變的理解。
L10 地球的眼淚,事實提取,文中提到海洋中常見的「白色殺手」主要是指什麼？,巨大的北極熊屍體,隨處漂浮的塑膠袋,被海浪沖上岸的沙,白色的海鷗羽毛片,B,環境汙染具體物件識別。
L10 地球的眼淚,理解推論,標題「地球的眼淚」主要是想表達什麼意涵？,地球表面正在降下非常大的酸雨,大自然因為受污染而產生的憂傷感,海洋的水位因為冰山融化而上升,地底湧出的溫泉就像是淚水一樣,B,測驗對修辭與主旨的連結。
L10 地球的眼淚,推論整合,為什麼海洋生物會誤食塑膠垃圾？,因為塑膠垃圾長得很像牠們的食物,因為牠們想透過吃塑膠來增加體力,因為牠們想幫人類清理海洋中的垃圾,因為牠們覺得塑膠的味道非常甜美,A,測驗對生態悲劇成因的理解。
L10 地球的眼淚,事實提取,課文中提到的環境保護行動，不包括下列哪一項？,減少使用一次性的塑膠製品,積極參與海灘上的淨灘活動,將垃圾全部運往外太空丟棄,隨手做好資源的分類與回收,C,行為邏輯排除。
L10 地球的眼淚,理解推論,文中提到的「減塑生活」是為了達成什麼目標？,為了讓自己的錢包裡有更多零用錢,為了減輕地球負擔並保護海洋生命,為了讓全班的考試成績都得到提升,為了能有更多時間去海邊練習游泳,B,行動目標認知。
L10 地球的眼淚,推論整合,作者描述海洋生物受傷的情景，是為了引發？,讀者對海洋生物攻擊行為的恐懼感,讀者對環境破壞的反思與同情心,讀者對海鮮料理製作方式的好奇心,讀者對於如何捕撈更多魚類的興趣,B,寫作意圖推論。
L10 地球的眼淚,應用評論,若小明想落實本課精神，哪種行為最值得鼓勵？,每天都用全新的塑膠吸管喝飲料,出門購物時自備環保袋與餐具,將不要的垃圾直接丟入附近的河流,抱怨環保產品的價格太過昂貴,B,價值觀轉化應用。
L10 地球的眼淚,事實提取,關於微塑膠的危害，下列敘述何者符合課文？,它們會隨著食物鏈進入生物的體內,它們會像種子一樣在土裡長成大樹,它們會自動轉化成保護海洋的屏障,它們能讓海洋中的水質變得更清澈,A,科普事實核對。
L10 地球的眼淚,推論整合,文中提到「乾淨的家園」，對海洋生物而言是指？,沒有任何人類存在的神祕孤島,沒有垃圾污染且生態平衡的海域,裝滿了人類提供食物的大型水族館,充滿了五光十色霓虹燈的海底城市,B,核心概念推論。
L10 地球的眼淚,理解推論,這課想要傳達的最重要訊息是什麼？,人類的發明已經完全超越了大自然,每個人都有責任保護地球的健康,海洋中的資源是永遠也取之不盡的,只有科學家才需要關心環境污染問題,B,主旨理解。
L11 枯木是大飯店,事實提取,為什麼「枯木」在森林生態中被稱為「大飯店」？,因為人類會在枯木旁建造高級旅館,因為它能為許多生物提供食物與住所,因為枯木的形狀長得很像現代化飯店,因為它是森林中最昂貴且稀有的木材,B,測驗對生態比喻的事實認知。
L11 枯木是大飯店,理解推論,死掉的樹木對森林而言，其正面價值不包括？,作為昆蟲躲避天敵的優良棲息空間,提供土壤中微生物分解所需的營養,可以讓人類將其改造成塑膠玩具車,成為鳥類築巢育嬰的安全穩固場所,C,功能性邏輯排除。
L11 枯木是大飯店,推論整合,這課想要傳達給讀者什麼樣的「生死觀」？,死亡代表完全的消失與沒有任何用處,生命的終結能轉化為孕育新生命的能量,生物死亡後應該立刻移出森林以免生病,只有活著的強壯生物才是對森林有益的,A,測驗對生命循環與價值轉化的推論。
L11 枯木是大飯店,事實提取,文中提到枯木上的「住客」可能有哪些生物？,在大海中游動的小魚與章魚,各種真菌、昆蟲與小型鳥類,在天空中飛翔的大型客機,在草地上跑動的高速列車,B,生態常識與課文細節對照。
L11 枯木是大飯店,理解推論,「枯木不是生命的結束，而是開始」是因為？,枯木在晚上會重新長出綠色的葉子,枯木能提供多樣生物生存的資源,枯木可以被雕刻成新的藝術品,枯木會自動變成新的森林種子,B,核心觀點理解。
L11 枯木是大飯店,推論整合,這課將森林描述為一個循環，主要想證明？,森林中所有的東西都是人類的財產,自然界中沒有任何東西是被浪費的,森林應該被改造成更現代化的公園,動物與植物在森林中是互不相干的,B,系統觀點推論。
L11 枯木是大飯店,事實提取,當啄木鳥在枯木上啄洞時，牠主要是為了？,為了練習敲擊樂器好參加森林比賽,尋找躲藏在木頭縫隙裡的昆蟲食物,為了發洩對於天氣太過炎熱的不滿,想把這棵枯木徹底破壞讓它倒塌,B,生物行為與功能認知。
L11 枯木是大飯店,理解推論,關於森林中的「養分循環」，下列何者正確？,養分是由人類定期噴灑到樹木上面的,由分解者將枯木中的養分回歸到大地,養分是從月亮的光芒中自動產生的,植物不需要養分也能長得高大強壯,B,科普邏輯理解。
L11 枯木是大飯店,應用評論,若你在森林看到一棵倒下的枯木，最好的做法是？,將它搬回家當成露營時生火的木柴,不干擾它，讓它繼續發揮生態功能,在上面刻下自己的名字證明來過這裡,將隨身的食物碎屑灑在上面餵小鳥,B,生態教育實踐。
L11 枯木是大飯店,推論整合,這課最能啟發讀者對生命的哪一種觀察力？,學習如何辨識哪一種木材價格最貴,看見事物在不同階段的價值與美麗,練習如何快速砍下一棵生病的樹木,研究如何將枯木轉化為昂貴的電力,B,生命價值觀延伸。
